BLL;BLUE LINES TRANSPORT SRL;salerno;Italy
BLM;BLUE MARLIN CONTAINER LINE PRIVATE LIMITED;MUMBAI;India
BLP;BALTIC SHIPPING (PVT) LTD;KARACHI;Pakistan
BLR;BELINTERTRANS;MINSK;Belarus
BLS;ADMIRAL CONTAINER LINES INC LIMITED;VALLETTA;Malta
BLT;BALTICON S.A.;GDYNIA;Poland
BLX;GSLINES - TRANSPORTES MARITIMOS;FUNCHAL;Portugal
BLZ;BLPL SINGAPORE PTE LTD;Singapore;Singapore
BMC;BENMA LOGISTICS CO.,LTD;Seoul;Korea, Republic of
BME;BASE METAL CHEMICALS;VADODARA;India
BML;KING OCEAN SERVICES LTD;DORAL, FL 33172;United States
BMM;BALTIC MARINE SPEDITION;Klaipėda;Lithuania
BMO;CAI INTERNATIONAL;SAN FRANCISCO, CA 94105;United States
BMP;BISMARK MARITIME LTD;PORT MORESBY;Papua New Guinea
BMR;BIZNES MASSHTAB LTD.;Saint-Petersburg;Russian Federation
BMS;BOSFOR MARITIME AND LOGISTICS SERVICES;Dubai;United Arab Emirates
BMU;ROCHE PHARMA AG;Grenzach-Wyhlen;Germany
BNB;TRANSOLVE GLOBAL PTY LTD;SYDNEY, NSW;Australia
BNG;SUPERIOR INTERNATIONAL IMPORTS;Richmond BC;Canada
BNS;BNS CONTAINER AS;OSLO;Norway
BOB;LANXESS SOLUTIONS UK LTD;MANCHESTER M17 1WT;United Kingdom
BOC;LINDE GAS & EQUIPMENT INC;The Woodlands, TX 77380;United States
BOD;SPEDITION BODE GMBH & CO. KG;Reinfeld;Germany
BOH;BOH ENVIRONMENTAL , LLC;Covington;United States
BOI;ESCOT A/S;AALBORG;Denmark
BOJ;FIRMA TRANSPORTOWO-HANDLOWA;Radlow;Poland
BOL;BOLUDA LINES S.A;VALENCIA;Spain
BON;BOND INTERNATIONAL GROUP LIMITED;Tortola;Virgin Islands, British
BOO;BOBE SPEDITIONS GMBH;BAD SALZUFLEN;Germany
BOR;BORCHARD LINES LTD;LONDON;United Kingdom
BOT;BULK OIL AND LIQUID TRANSPORT PTE LTD;Singapore;Singapore
BOX;BULKHAUL LTD;MIDDLESBROUGH CLEVELAND;United Kingdom
BPC;BSS CO.,LTD;Gyeonggi-do;Korea, Republic of
BPI;BULK PIONEER LOGISTICS CO LTD;SHENZHEN;China
BPM;BP MC KEEFRY LTD;SWATRAGH;Ireland
BPT;BRAID LOGISTICS (UK) LIMITED;RENFREW;United Kingdom
BRB;NOURYON FUNCTIONAL CHEMICALS;Rotterdam;Netherlands
BRC;QINHUANGDAO QIN-IN FERRY CO.,LTD;QINHUANGDAO;China
BRD;BREDENOORD;Apeldoorn;Netherlands
BRE;S.A.T.I. SRL;GIANICO (BS);Italy
BRF;BULKHAUL LTD;MIDDLESBROUGH CLEVELAND;United Kingdom
BRG;ABU DHABI POLYMERS COMPANY LTD;ABU DHABI;United Arab Emirates
BRH;BRENNTAG NV;Deerlijk-West Vlaanderen;Belgium
BRK;BULKHAUL LTD;MIDDLESBROUGH CLEVELAND;United Kingdom
BRL;"""SOVTRANS"" LTD";Kaliningrad;Russian Federation
BRM;BREMAR SP. Z O.O.;Warszawa;Poland
BRN;LOCATANK S.A.;EYBENS;France
BRO;T.S.B SARL;CASTELJALOUX;France
BRS;BASF SE LUDWIGSHAFEN;Ludwigshafen am Rhein;Germany
BRT;HALCYON TANKERS 2022 LTD;Birstall, WF17 9TD;United Kingdom
BRZ;CONTAINER EXPRESS CORPORATION;FT LAUDERLALE, FL 33309;United States
BSB;BIGSTEEL BOX CORPORATION;Kelowna- BC V1Y 0B5;Canada
BSC;BESTCONT SA;Lugano;Switzerland
BSD;COSCO SHIPPING SPECIALIZED CARRIERS CO., LTD;Guangzhou;China
